cluster_id,total_violations,active_days,active_weeks,observation_span_days,recurrence_rate_days,week_coverage_rate,avg_violations_per_active_day,max_daily_violations,top_day_share,weekend_share,weekday_share,peak_hour,peak_hour_share,temporal_concentration_score,assigned_station,station_priority_band,cluster_quality,needs_manual_review,hotspot_type,needs_review_flag,deployment_readiness,review_reason,primary_behavior_signal,behavior_signal_strength,recommended_action,classification_confidence,m4_reason,m4_notes
C_21,2094,138,23,151,0.9139,1.0,15.17,97,0.0463,0.2488,0.7512,8,0.1404,0.3878,VIJAYANAGARA,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=138, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_0_5,2030,135,23,151,0.894,1.0,15.04,88,0.0433,0.3232,0.6768,9,0.102,0.2842,UPPARPET,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=135, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_173,1959,123,23,150,0.82,1.0,15.93,94,0.048,0.4625,0.5375,12,0.3165,0.7065,ELECTRONIC CITY,MEDIUM,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=123, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_5,1929,98,22,149,0.6577,0.9565,19.68,104,0.0539,0.1794,0.8206,4,0.1918,0.5298,SHIVAJINAGAR,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=98, active_weeks=22 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_12,1900,141,23,151,0.9338,1.0,13.48,59,0.0311,0.3111,0.6889,10,0.1321,0.3547,BASAVANAGUDI,MEDIUM,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=141, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_199,1874,105,22,148,0.7095,0.9565,17.85,151,0.0806,0.1953,0.8047,1,0.2401,0.5416,MAHADEVAPURA,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=105, active_weeks=22 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_149,1807,129,23,150,0.86,1.0,14.01,64,0.0354,0.3403,0.6597,10,0.1782,0.4328,MAHADEVAPURA,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=129, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_731,1751,70,18,119,0.5882,0.7826,25.01,93,0.0531,0.2376,0.7624,5,0.1839,0.4797,HAL OLD AIRPORT,CRITICAL,good,0,STRUCTURAL,0,READY,No review required,recurrent_across_weeks,HIGH,Recurring patrol + towing support + signage/infra review,HIGH,"active_days=70, active_weeks=18 [rule A: >=30 days AND >=8 weeks]",clean
C_34,1650,126,23,151,0.8344,1.0,13.1,71,0.043,0.3036,0.6964,4,0.1291,0.3552,MAGADI ROAD,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=126, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_18,1602,123,23,151,0.8146,1.0,13.02,61,0.0381,0.4257,0.5743,1,0.1598,0.3801,BYATARAYANAPURA,MEDIUM,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=123, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_7,1519,134,23,151,0.8874,1.0,11.34,66,0.0434,0.2567,0.7433,3,0.1284,0.3535,HAL OLD AIRPORT,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=134, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_91,1494,115,23,150,0.7667,1.0,12.99,96,0.0643,0.332,0.668,7,0.1212,0.3112,CHAMARAJPET,MEDIUM,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=115, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_298,1409,67,21,146,0.4589,0.913,21.03,101,0.0717,0.198,0.802,8,0.3392,0.5962,HAL OLD AIRPORT,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=67, active_weeks=21 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_60,1276,82,22,146,0.5616,0.9565,15.56,71,0.0556,0.2837,0.7163,10,0.1513,0.3918,K.R. PURA,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=82, active_weeks=22 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_58,1253,84,23,151,0.5563,1.0,14.92,175,0.1397,0.7063,0.2937,11,0.2291,0.5435,MAHADEVAPURA,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=84, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_83,1240,102,23,150,0.68,1.0,12.16,48,0.0387,0.2452,0.7548,3,0.3621,0.6694,RAJAJINAGAR,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=102, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_373,1214,98,22,146,0.6712,0.9565,12.39,52,0.0428,0.2133,0.7867,7,0.1631,0.369,JEEVANBHEEMANAGAR,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=98, active_weeks=22 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_168,1186,88,21,149,0.5906,0.913,13.48,50,0.0422,0.2943,0.7057,3,0.2462,0.6248,HAL OLD AIRPORT,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=88, active_weeks=21 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_0_6,1155,113,22,149,0.7584,0.9565,10.22,40,0.0346,0.3818,0.6182,11,0.168,0.4165,CHAMARAJPET,MEDIUM,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=113, active_weeks=22 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_229,1139,115,23,149,0.7718,1.0,9.9,40,0.0351,0.3424,0.6576,4,0.3363,0.5812,HALASUR,MEDIUM,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=115, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_104,1090,87,22,148,0.5878,0.9565,12.53,71,0.0651,0.2174,0.7826,2,0.1991,0.5532,BELLANDUR,MEDIUM,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=87, active_weeks=22 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_114,1086,104,22,148,0.7027,0.9565,10.44,121,0.1114,0.3628,0.6372,13,0.2615,0.6694,HSR LAYOUT,MEDIUM,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=104, active_weeks=22 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_213,1015,103,23,149,0.6913,1.0,9.85,50,0.0493,0.4187,0.5813,9,0.1222,0.3113,ADUGODI,LOW,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=103, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_36,1011,101,23,151,0.6689,1.0,10.01,34,0.0336,0.273,0.727,10,0.4896,0.6479,RAJAJINAGAR,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=101, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_0_4,1009,117,22,150,0.78,0.9565,8.62,48,0.0476,0.3885,0.6115,8,0.1397,0.3766,UPPARPET,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=117, active_weeks=22 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_605,981,18,9,96,0.1875,0.3913,54.5,144,0.1468,0.2263,0.7737,12,0.2813,0.6055,BYATARAYANAPURA,MEDIUM,good,0,RESPONSIVE,0,READY,No review required,burst_or_short_term,HIGH,Targeted short-term patrol during peak window,HIGH,"default responsive; active_days=18, violations=981, rec_rate=0.188",clean
C_126,939,85,22,148,0.5743,0.9565,11.05,97,0.1033,0.1416,0.8584,8,0.3237,0.7082,HAL OLD AIRPORT,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=85, active_weeks=22 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_17,927,96,22,147,0.6531,0.9565,9.66,69,0.0744,0.2621,0.7379,1,0.1499,0.356,CHIKKAJALA,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=96, active_weeks=22 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_301,902,82,22,147,0.5578,0.9565,11.0,65,0.0721,0.3381,0.6619,3,0.1497,0.4047,KODIGEHALLI,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=82, active_weeks=22 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_0_3,899,109,22,150,0.7267,0.9565,8.25,47,0.0523,0.2469,0.7531,10,0.1468,0.3671,CITY MARKET,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=109, active_weeks=22 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_138,886,111,23,150,0.74,1.0,7.98,67,0.0756,0.2935,0.7065,11,0.1806,0.4707,CUBBON PARK,LOW,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=111, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_19,874,103,23,151,0.6821,1.0,8.49,50,0.0572,0.2941,0.7059,9,0.1568,0.4359,RAJAJINAGAR,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=103, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_329,864,76,21,143,0.5315,0.913,11.37,120,0.1389,0.0382,0.9618,7,0.1944,0.5301,HAL OLD AIRPORT,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=76, active_weeks=21 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_142,818,90,20,149,0.604,0.8696,9.09,52,0.0636,0.3056,0.6944,14,0.2188,0.4841,BANASWADI,LOW,good,0,STRUCTURAL,0,READY,No review required,recurrent_across_weeks,HIGH,Recurring patrol + towing support + signage/infra review,HIGH,"active_days=90, active_weeks=20 [rule A: >=30 days AND >=8 weeks]",clean
C_219,814,72,22,148,0.4865,0.9565,11.31,67,0.0823,0.242,0.758,8,0.2187,0.4877,JAYANAGARA,MEDIUM,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=72, active_weeks=22 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_150,792,90,23,150,0.6,1.0,8.8,36,0.0455,0.2803,0.7197,10,0.2386,0.4773,VIJAYANAGARA,CRITICAL,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=90, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_73,790,107,23,151,0.7086,1.0,7.38,69,0.0873,0.5797,0.4203,13,0.1873,0.4709,JEEVANBHEEMANAGAR,HIGH,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=107, active_weeks=23 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
C_155,746,83,21,149,0.557,0.913,8.99,51,0.0684,0.3713,0.6287,12,0.1716,0.4799,HSR LAYOUT,MEDIUM,good,1,STRUCTURAL,1,REVIEW_FIRST,Phase 2 manual review flag; verify geography before deployment,recurrent_across_weeks,HIGH,"Review geography first; if confirmed, apply: Recurring patrol + towing support + signage/infra review",HIGH,"active_days=83, active_weeks=21 [rule A: >=30 days AND >=8 weeks]",deployment gated: Phase 2 manual review flag; verify geography before deployment
