cluster_id,centroid_lat,centroid_lng,violation_count,unique_vehicle_types,dominant_vehicle_type,vehicle_mix,vehicle_mix_json,police_station_mode,location_mode,junction_name_mode,junction_flag_rate,has_junction_name_rate,first_seen_ist,last_seen_ist,active_days,active_weeks,peak_hour_basic,peak_day_basic,h3_cells_count,cluster_quality,needs_manual_review
C_171,13.185430604798288,77.67994768323867,4437,15,CAR,"CAR:2869,MAXI-CAB:1479,LGV:23,SCOOTER:19,VAN:12,MOTOR CYCLE:11,TEMPO:8,PASSENGER AUTO:5,JEEP:3,GOODS AUTO:2,HGV:2,OTHERS:1,SCHOOL VEHICLE:1,FACTORY BUS:1,TOURIST BUS:1","{""CAR"": 2869, ""MAXI-CAB"": 1479, ""LGV"": 23, ""SCOOTER"": 19, ""VAN"": 12, ""MOTOR CYCLE"": 11, ""TEMPO"": 8, ""PASSENGER AUTO"": 5, ""JEEP"": 3, ""GOODS AUTO"": 2, ""HGV"": 2, ""OTHERS"": 1, ""SCHOOL VEHICLE"": 1, ""FACTORY BUS"": 1, ""TOURIST BUS"": 1}",CHIKKAJALA,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",No Junction,0.0153,0.0,2023-11-11 11:51:46+05:30,2024-04-08 14:50:46+05:30,144,23,5,Friday,5,good,1
C_3,13.008460472703977,77.6954542260556,3926,20,SCOOTER,"SCOOTER:1063,CAR:966,PASSENGER AUTO:945,MOTOR CYCLE:405,LGV:210,VAN:80,GOODS AUTO:76,TEMPO:49,MAXI-CAB:34,LORRY/GOODS VEHICLE:20,JEEP:19,OTHERS:19,HGV:10,BUS (BMTC/KSRTC):9,MOPED:9,PRIVATE BUS:4,TOURIST BUS:3,MINI LORRY:3,TANKER:1,SCHOOL VEHICLE:1","{""SCOOTER"": 1063, ""CAR"": 966, ""PASSENGER AUTO"": 945, ""MOTOR CYCLE"": 405, ""LGV"": 210, ""VAN"": 80, ""GOODS AUTO"": 76, ""TEMPO"": 49, ""MAXI-CAB"": 34, ""LORRY/GOODS VEHICLE"": 20, ""JEEP"": 19, ""OTHERS"": 19, ""HGV"": 10, ""BUS (BMTC/KSRTC)"": 9, ""MOPED"": 9, ""PRIVATE BUS"": 4, ""TOURIST BUS"": 3, ""MINI LORRY"": 3, ""TANKER"": 1, ""SCHOOL VEHICLE"": 1}",K.R. PURA,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",No Junction,0.0003,0.0,2023-11-10 02:28:46+05:30,2024-04-08 05:44:46+05:30,150,23,0,Sunday,4,good,1
C_15,13.006735406687646,77.57056502355101,3813,16,CAR,"CAR:2159,SCOOTER:822,MOTOR CYCLE:542,PASSENGER AUTO:169,MAXI-CAB:42,JEEP:27,LGV:22,GOODS AUTO:13,VAN:4,BUS (BMTC/KSRTC):3,HGV:2,LORRY/GOODS VEHICLE:2,OTHERS:2,MOPED:2,PRIVATE BUS:1,TRACTOR:1","{""CAR"": 2159, ""SCOOTER"": 822, ""MOTOR CYCLE"": 542, ""PASSENGER AUTO"": 169, ""MAXI-CAB"": 42, ""JEEP"": 27, ""LGV"": 22, ""GOODS AUTO"": 13, ""VAN"": 4, ""BUS (BMTC/KSRTC)"": 3, ""HGV"": 2, ""LORRY/GOODS VEHICLE"": 2, ""OTHERS"": 2, ""MOPED"": 2, ""PRIVATE BUS"": 1, ""TRACTOR"": 1}",MALLESHWARAM,"Sri Venkataranga Ayangar Road, Ranganathapura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",No Junction,0.0,0.0,2023-11-10 04:47:46+05:30,2024-04-08 09:57:46+05:30,142,23,8,Sunday,4,good,1
C_41,13.035301123433317,77.58902437439944,3198,15,SCOOTER,"SCOOTER:1189,MOTOR CYCLE:821,CAR:612,PASSENGER AUTO:458,MAXI-CAB:52,LGV:26,GOODS AUTO:10,VAN:8,HGV:4,MOPED:4,JEEP:4,OTHERS:3,LORRY/GOODS VEHICLE:3,TEMPO:3,SCHOOL VEHICLE:1","{""SCOOTER"": 1189, ""MOTOR CYCLE"": 821, ""CAR"": 612, ""PASSENGER AUTO"": 458, ""MAXI-CAB"": 52, ""LGV"": 26, ""GOODS AUTO"": 10, ""VAN"": 8, ""HGV"": 4, ""MOPED"": 4, ""JEEP"": 4, ""OTHERS"": 3, ""LORRY/GOODS VEHICLE"": 3, ""TEMPO"": 3, ""SCHOOL VEHICLE"": 1}",HEBBALA,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",No Junction,0.0,0.0,2023-11-10 08:46:46+05:30,2024-04-08 11:17:46+05:30,134,23,4,Wednesday,3,good,1
C_38,12.964581681315789,77.58389828970395,3040,17,SCOOTER,"SCOOTER:1392,MOTOR CYCLE:596,CAR:432,PASSENGER AUTO:306,LGV:146,GOODS AUTO:61,MAXI-CAB:23,VAN:22,MOPED:19,TEMPO:13,JEEP:9,MINI LORRY:8,LORRY/GOODS VEHICLE:8,HGV:2,SCHOOL VEHICLE:1,OTHERS:1,PRIVATE BUS:1","{""SCOOTER"": 1392, ""MOTOR CYCLE"": 596, ""CAR"": 432, ""PASSENGER AUTO"": 306, ""LGV"": 146, ""GOODS AUTO"": 61, ""MAXI-CAB"": 23, ""VAN"": 22, ""MOPED"": 19, ""TEMPO"": 13, ""JEEP"": 9, ""MINI LORRY"": 8, ""LORRY/GOODS VEHICLE"": 8, ""HGV"": 2, ""SCHOOL VEHICLE"": 1, ""OTHERS"": 1, ""PRIVATE BUS"": 1}",HALASURU GATE,"Pailwan M Krishnappa Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)","BTP080 - NR Road, SP Road Junction",0.0,1.0,2023-11-10 08:21:46+05:30,2024-04-08 06:48:46+05:30,136,23,10,Tuesday,4,good,1
C_39,12.998021466657063,77.57135840260051,2928,15,CAR,"CAR:1333,SCOOTER:684,PASSENGER AUTO:546,MOTOR CYCLE:254,MAXI-CAB:34,LGV:16,JEEP:14,VAN:12,OTHERS:12,TANKER:6,MOPED:6,GOODS AUTO:6,LORRY/GOODS VEHICLE:3,MINI LORRY:1,TEMPO:1","{""CAR"": 1333, ""SCOOTER"": 684, ""PASSENGER AUTO"": 546, ""MOTOR CYCLE"": 254, ""MAXI-CAB"": 34, ""LGV"": 16, ""JEEP"": 14, ""VAN"": 12, ""OTHERS"": 12, ""TANKER"": 6, ""MOPED"": 6, ""GOODS AUTO"": 6, ""LORRY/GOODS VEHICLE"": 3, ""MINI LORRY"": 1, ""TEMPO"": 1}",MALLESHWARAM,"Sri Venkataranga Ayangar Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",No Junction,0.0,0.0,2023-11-10 08:30:46+05:30,2024-04-08 04:56:46+05:30,146,23,10,Sunday,6,good,1
C_327,12.992656984457891,77.58887485785311,2757,13,SCOOTER,"SCOOTER:2125,MOTOR CYCLE:427,CAR:112,PASSENGER AUTO:65,LGV:8,JEEP:5,VAN:5,MAXI-CAB:4,MOPED:2,MINI LORRY:1,OTHERS:1,LORRY/GOODS VEHICLE:1,HGV:1","{""SCOOTER"": 2125, ""MOTOR CYCLE"": 427, ""CAR"": 112, ""PASSENGER AUTO"": 65, ""LGV"": 8, ""JEEP"": 5, ""VAN"": 5, ""MAXI-CAB"": 4, ""MOPED"": 2, ""MINI LORRY"": 1, ""OTHERS"": 1, ""LORRY/GOODS VEHICLE"": 1, ""HGV"": 1}",HIGH GROUND,"Palace Road, Kalpana Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",BTP032 - Windsor Circle,0.0,0.9108,2023-11-14 06:26:46+05:30,2024-04-07 09:48:46+05:30,88,21,3,Wednesday,4,good,1
C_4,12.965154722523119,77.53811533358993,2677,19,SCOOTER,"SCOOTER:1400,CAR:662,MOTOR CYCLE:451,PASSENGER AUTO:75,GOODS AUTO:21,MAXI-CAB:21,LGV:12,VAN:7,JEEP:7,LORRY/GOODS VEHICLE:6,TEMPO:3,MOPED:2,HGV:2,SCHOOL VEHICLE:2,OTHERS:2,TANKER:1,FACTORY BUS:1,TRACTOR:1,PRIVATE BUS:1","{""SCOOTER"": 1400, ""CAR"": 662, ""MOTOR CYCLE"": 451, ""PASSENGER AUTO"": 75, ""GOODS AUTO"": 21, ""MAXI-CAB"": 21, ""LGV"": 12, ""VAN"": 7, ""JEEP"": 7, ""LORRY/GOODS VEHICLE"": 6, ""TEMPO"": 3, ""MOPED"": 2, ""HGV"": 2, ""SCHOOL VEHICLE"": 2, ""OTHERS"": 2, ""TANKER"": 1, ""FACTORY BUS"": 1, ""TRACTOR"": 1, ""PRIVATE BUS"": 1}",VIJAYANAGARA,"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)","BTP016 - 5th Main Road, RPC Layout",0.0,0.9081,2023-11-10 02:37:46+05:30,2024-04-08 10:23:46+05:30,102,23,11,Saturday,5,good,1
C_54,12.973571379808892,77.55113007823016,2407,12,SCOOTER,"SCOOTER:1647,MOTOR CYCLE:644,PASSENGER AUTO:56,CAR:32,MOPED:8,MAXI-CAB:6,GOODS AUTO:4,LGV:3,TOURIST BUS:3,OTHERS:2,PRIVATE BUS:1,VAN:1","{""SCOOTER"": 1647, ""MOTOR CYCLE"": 644, ""PASSENGER AUTO"": 56, ""CAR"": 32, ""MOPED"": 8, ""MAXI-CAB"": 6, ""GOODS AUTO"": 4, ""LGV"": 3, ""TOURIST BUS"": 3, ""OTHERS"": 2, ""PRIVATE BUS"": 1, ""VAN"": 1}",MAGADI ROAD,"1st Cross Road, Mallige Thotta, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)","BTP070 - Cholurpalya Junction, Magadi Road",0.0004,1.0,2023-11-10 10:56:46+05:30,2024-04-08 14:39:46+05:30,105,23,11,Monday,2,good,1
C_81,12.959679943667124,77.57706802153636,2187,19,SCOOTER,"SCOOTER:628,PASSENGER AUTO:354,LGV:307,GOODS AUTO:277,CAR:245,MOTOR CYCLE:162,PRIVATE BUS:72,LORRY/GOODS VEHICLE:31,MINI LORRY:25,TOURIST BUS:19,MOPED:16,HGV:14,VAN:12,JEEP:11,MAXI-CAB:7,TEMPO:4,OTHERS:1,TANKER:1,FACTORY BUS:1","{""SCOOTER"": 628, ""PASSENGER AUTO"": 354, ""LGV"": 307, ""GOODS AUTO"": 277, ""CAR"": 245, ""MOTOR CYCLE"": 162, ""PRIVATE BUS"": 72, ""LORRY/GOODS VEHICLE"": 31, ""MINI LORRY"": 25, ""TOURIST BUS"": 19, ""MOPED"": 16, ""HGV"": 14, ""VAN"": 12, ""JEEP"": 11, ""MAXI-CAB"": 7, ""TEMPO"": 4, ""OTHERS"": 1, ""TANKER"": 1, ""FACTORY BUS"": 1}",CITY MARKET,"Tippu Sultan Palace Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",BTP104 - Medical College Circle,0.0,1.0,2023-11-11 02:17:46+05:30,2024-04-08 06:20:46+05:30,136,23,11,Sunday,5,good,1
C_21,12.997506222949298,77.54862164315576,2094,15,SCOOTER,"SCOOTER:947,CAR:583,MOTOR CYCLE:389,PASSENGER AUTO:90,LGV:18,MAXI-CAB:16,JEEP:15,OTHERS:10,MOPED:9,GOODS AUTO:4,VAN:4,LORRY/GOODS VEHICLE:4,MINI LORRY:2,TEMPO:2,TRACTOR:1","{""SCOOTER"": 947, ""CAR"": 583, ""MOTOR CYCLE"": 389, ""PASSENGER AUTO"": 90, ""LGV"": 18, ""MAXI-CAB"": 16, ""JEEP"": 15, ""OTHERS"": 10, ""MOPED"": 9, ""GOODS AUTO"": 4, ""VAN"": 4, ""LORRY/GOODS VEHICLE"": 4, ""MINI LORRY"": 2, ""TEMPO"": 2, ""TRACTOR"": 1}",VIJAYANAGARA,"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",BTP027 - Modi Bridge Junction,0.0,1.0,2023-11-10 06:10:46+05:30,2024-04-08 15:22:46+05:30,138,23,8,Thursday,3,good,1
C_0_5,12.978037567044334,77.57382984448274,2030,19,CAR,"CAR:698,SCOOTER:383,PASSENGER AUTO:360,MOTOR CYCLE:176,PRIVATE BUS:113,MAXI-CAB:69,LGV:67,GOODS AUTO:46,TOURIST BUS:37,BUS (BMTC/KSRTC):24,TEMPO:10,MOPED:10,JEEP:9,VAN:7,HGV:7,OTHERS:6,LORRY/GOODS VEHICLE:4,MINI LORRY:3,TANKER:1","{""CAR"": 698, ""SCOOTER"": 383, ""PASSENGER AUTO"": 360, ""MOTOR CYCLE"": 176, ""PRIVATE BUS"": 113, ""MAXI-CAB"": 69, ""LGV"": 67, ""GOODS AUTO"": 46, ""TOURIST BUS"": 37, ""BUS (BMTC/KSRTC)"": 24, ""TEMPO"": 10, ""MOPED"": 10, ""JEEP"": 9, ""VAN"": 7, ""HGV"": 7, ""OTHERS"": 6, ""LORRY/GOODS VEHICLE"": 4, ""MINI LORRY"": 3, ""TANKER"": 1}",UPPARPET,"Major T Ramachandrappa Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",BTP045 - Danvanthri Road Junction,0.0,1.0,2023-11-10 12:40:46+05:30,2024-04-08 14:36:46+05:30,135,23,9,Sunday,2,good,1
C_173,12.84190787359102,77.6458057678966,1959,15,SCOOTER,"SCOOTER:742,MOTOR CYCLE:605,CAR:380,LGV:109,PASSENGER AUTO:50,MAXI-CAB:22,TANKER:21,VAN:10,GOODS AUTO:8,HGV:3,PRIVATE BUS:3,LORRY/GOODS VEHICLE:2,MOPED:2,OTHERS:1,TEMPO:1","{""SCOOTER"": 742, ""MOTOR CYCLE"": 605, ""CAR"": 380, ""LGV"": 109, ""PASSENGER AUTO"": 50, ""MAXI-CAB"": 22, ""TANKER"": 21, ""VAN"": 10, ""GOODS AUTO"": 8, ""HGV"": 3, ""PRIVATE BUS"": 3, ""LORRY/GOODS VEHICLE"": 2, ""MOPED"": 2, ""OTHERS"": 1, ""TEMPO"": 1}",ELECTRONIC CITY,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",No Junction,0.0005,0.0,2023-11-11 12:11:46+05:30,2024-04-08 12:59:46+05:30,123,23,12,Sunday,4,good,1
C_5,12.981296485329187,77.59855271627787,1929,13,SCOOTER,"SCOOTER:1318,MOTOR CYCLE:428,CAR:117,PASSENGER AUTO:33,MAXI-CAB:17,JEEP:3,LGV:3,OTHERS:3,TOURIST BUS:2,MOPED:2,VAN:1,TRACTOR:1,BUS (BMTC/KSRTC):1","{""SCOOTER"": 1318, ""MOTOR CYCLE"": 428, ""CAR"": 117, ""PASSENGER AUTO"": 33, ""MAXI-CAB"": 17, ""JEEP"": 3, ""LGV"": 3, ""OTHERS"": 3, ""TOURIST BUS"": 2, ""MOPED"": 2, ""VAN"": 1, ""TRACTOR"": 1, ""BUS (BMTC/KSRTC)"": 1}",SHIVAJINAGAR,"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",BTP042 - Minsk Square Junction (CTO),0.0,1.0,2023-11-10 02:41:46+05:30,2024-04-06 10:33:46+05:30,98,22,4,Thursday,1,good,1
