cluster_id,total_violations,active_days,active_weeks,peak_hour,peak_hour_count,peak_hour_share,top_3_hours,peak_day_name,peak_day_type,weekday_peak_hour,weekend_peak_hour,recommended_patrol_window,secondary_patrol_window,temporal_concentration_score,temporal_confidence,m3_notes
C_0_55,6,4,4,9,3,0.5,"[9, 2, 12]",Friday,WEEKDAY,9.0,12.0,09:00-11:00,02:00-04:00,0.8333,LOW,sparse data (<30 violations); few active days (<7)
C_0_6,1155,113,22,11,194,0.168,"[11, 10, 5]",Friday,MIXED,11.0,10.0,11:00-13:00,10:00-12:00,0.4165,HIGH,no strong weekday/weekend skew
C_0_7,459,73,21,4,107,0.2331,"[4, 9, 8]",Wednesday,WEEKDAY,4.0,9.0,04:00-06:00,09:00-11:00,0.5773,HIGH,clean
C_0_8,166,28,11,10,37,0.2229,"[10, 4, 11]",Saturday,MIXED,4.0,10.0,10:00-12:00,04:00-06:00,0.5663,HIGH,no strong weekday/weekend skew
C_0_9,31,10,8,7,6,0.1935,"[7, 4, 11]",Saturday,MIXED,7.0,4.0,07:00-09:00,04:00-06:00,0.4839,MEDIUM,no strong weekday/weekend skew
C_1,512,35,18,9,104,0.2031,"[9, 8, 10]",Friday,WEEKDAY,9.0,8.0,09:00-11:00,08:00-10:00,0.5332,HIGH,clean
C_10,38,16,15,2,15,0.3947,"[2, 11, 6]",Saturday,WEEKEND,6.0,2.0,02:00-04:00,11:00-13:00,0.6842,MEDIUM,clean
C_100,419,82,22,11,92,0.2196,"[11, 10, 3]",Sunday,MIXED,11.0,10.0,11:00-13:00,10:00-12:00,0.5465,HIGH,no strong weekday/weekend skew
C_1000,16,1,1,3,16,1.0,[3],Sunday,WEEKEND,,3.0,03:00-05:00,,1.0,LOW,sparse data (<30 violations); few active days (<7)
C_1001,15,8,7,4,11,0.7333,"[4, 3, 5]",Saturday,WEEKDAY,4.0,4.0,04:00-06:00,03:00-05:00,0.9333,MEDIUM,sparse data (<30 violations)
C_1002,15,6,5,4,7,0.4667,"[4, 12, 6]",Saturday,WEEKEND,6.0,4.0,04:00-06:00,12:00-14:00,0.9333,LOW,sparse data (<30 violations); few active days (<7)
C_1003,19,7,4,8,5,0.2632,"[8, 9, 4]",Sunday,MIXED,4.0,8.0,08:00-10:00,09:00-11:00,0.5789,MEDIUM,sparse data (<30 violations); no strong weekday/weekend skew
C_1004,19,3,2,3,11,0.5789,"[3, 6]",Monday,WEEKDAY,3.0,,03:00-05:00,06:00-08:00,1.0,LOW,sparse data (<30 violations); few active days (<7)
C_1005,25,4,2,3,11,0.44,"[3, 11, 4]",Thursday,WEEKDAY,3.0,,03:00-05:00,11:00-13:00,0.92,LOW,sparse data (<30 violations); few active days (<7)
C_1006,15,12,8,7,3,0.2,"[7, 9, 8]",Sunday,MIXED,9.0,12.0,07:00-09:00,09:00-11:00,0.5333,MEDIUM,sparse data (<30 violations); no strong weekday/weekend skew
C_1007,16,8,8,11,8,0.5,"[11, 10, 14]",Sunday,WEEKEND,14.0,11.0,11:00-13:00,10:00-12:00,0.875,MEDIUM,sparse data (<30 violations)
C_1008,16,7,4,11,8,0.5,"[11, 8, 10]",Monday,WEEKDAY,11.0,11.0,11:00-13:00,08:00-10:00,0.875,MEDIUM,sparse data (<30 violations)
C_1009,24,4,3,7,13,0.5417,"[7, 6, 9]",Tuesday,WEEKDAY,7.0,9.0,07:00-09:00,06:00-08:00,0.9583,LOW,sparse data (<30 violations); few active days (<7)
C_101,68,6,4,4,30,0.4412,"[4, 11, 9]",Saturday,MIXED,4.0,11.0,04:00-06:00,11:00-13:00,0.9706,MEDIUM,few active days (<7); no strong weekday/weekend skew
C_1010,17,6,4,2,10,0.5882,"[2, 1, 3]",Thursday,WEEKDAY,2.0,,02:00-04:00,01:00-03:00,0.9412,LOW,sparse data (<30 violations); few active days (<7)
C_1011,16,3,2,8,7,0.4375,"[8, 4, 7]",Monday,WEEKDAY,8.0,,08:00-10:00,04:00-06:00,1.0,LOW,sparse data (<30 violations); few active days (<7)
C_1012,15,4,3,8,11,0.7333,"[8, 7, 11]",Sunday,MIXED,8.0,8.0,08:00-10:00,07:00-09:00,1.0,LOW,sparse data (<30 violations); few active days (<7); no strong weekday/weekend skew
C_1013,32,2,1,23,13,0.4062,"[23, 0, 12]",Thursday,WEEKDAY,23.0,,23:00-01:00,00:00-02:00,0.9062,MEDIUM,few active days (<7)
C_1014,15,7,5,10,4,0.2667,"[10, 12, 5]",Sunday,MIXED,5.0,12.0,10:00-12:00,12:00-14:00,0.6667,MEDIUM,sparse data (<30 violations); no strong weekday/weekend skew
C_1015,7,4,3,2,4,0.5714,"[2, 3]",Monday,WEEKDAY,2.0,3.0,02:00-04:00,03:00-05:00,1.0,LOW,sparse data (<30 violations); few active days (<7)
C_1016,17,1,1,11,15,0.8824,"[11, 12]",Monday,WEEKDAY,11.0,,11:00-13:00,12:00-14:00,1.0,LOW,sparse data (<30 violations); few active days (<7)
C_1017,16,1,1,12,15,0.9375,"[12, 11]",Monday,WEEKDAY,12.0,,12:00-14:00,11:00-13:00,1.0,LOW,sparse data (<30 violations); few active days (<7)
C_1018,17,1,1,12,17,1.0,[12],Monday,WEEKDAY,12.0,,12:00-14:00,,1.0,LOW,sparse data (<30 violations); few active days (<7)
C_102,142,59,21,4,29,0.2042,"[4, 11, 10]",Monday,WEEKDAY,4.0,10.0,04:00-06:00,11:00-13:00,0.507,HIGH,clean
C_103,362,69,17,2,89,0.2459,"[2, 3, 8]",Tuesday,MIXED,2.0,3.0,02:00-04:00,03:00-05:00,0.5608,HIGH,no strong weekday/weekend skew
C_104,1090,87,22,2,217,0.1991,"[2, 3, 5]",Wednesday,WEEKDAY,2.0,3.0,02:00-04:00,03:00-05:00,0.5532,HIGH,clean
C_105,153,33,19,5,27,0.1765,"[5, 10, 4]",Sunday,WEEKDAY,5.0,8.0,05:00-07:00,10:00-12:00,0.4771,HIGH,clean
C_106,21,15,10,12,5,0.2381,"[12, 11, 6]",Thursday,WEEKDAY,12.0,4.0,12:00-14:00,11:00-13:00,0.4762,MEDIUM,sparse data (<30 violations)
C_107,113,24,14,4,41,0.3628,"[4, 5, 10]",Friday,WEEKDAY,4.0,5.0,04:00-06:00,05:00-07:00,0.7699,HIGH,clean
C_108,25,14,7,2,5,0.2,"[2, 4, 8]",Sunday,MIXED,2.0,9.0,02:00-04:00,04:00-06:00,0.56,MEDIUM,sparse data (<30 violations); no strong weekday/weekend skew
C_109,68,39,18,4,19,0.2794,"[4, 8, 3]",Saturday,WEEKDAY,4.0,4.0,04:00-06:00,08:00-10:00,0.7941,MEDIUM,clean
C_11,367,109,23,3,73,0.1989,"[3, 2, 10]",Monday,MIXED,3.0,2.0,03:00-05:00,02:00-04:00,0.5313,HIGH,no strong weekday/weekend skew
C_110,25,11,8,4,5,0.2,"[4, 8, 12]",Monday,WEEKDAY,8.0,4.0,04:00-06:00,08:00-10:00,0.52,MEDIUM,sparse data (<30 violations)
C_111,61,23,17,3,19,0.3115,"[3, 4, 12]",Friday,WEEKDAY,3.0,5.0,03:00-05:00,04:00-06:00,0.6721,MEDIUM,clean
C_112,319,45,20,8,53,0.1661,"[8, 5, 10]",Sunday,MIXED,6.0,8.0,08:00-10:00,05:00-07:00,0.3887,HIGH,no strong weekday/weekend skew
C_113,175,59,21,9,41,0.2343,"[9, 5, 8]",Wednesday,MIXED,5.0,8.0,09:00-11:00,05:00-07:00,0.5829,HIGH,no strong weekday/weekend skew
C_114,1086,104,22,13,284,0.2615,"[13, 12, 11]",Tuesday,MIXED,13.0,13.0,13:00-15:00,12:00-14:00,0.6694,HIGH,no strong weekday/weekend skew
C_115,425,98,22,12,52,0.1224,"[12, 4, 6]",Tuesday,WEEKDAY,6.0,11.0,12:00-14:00,04:00-06:00,0.3482,HIGH,clean
C_116,209,25,13,11,54,0.2584,"[11, 12, 5]",Sunday,MIXED,11.0,11.0,11:00-13:00,12:00-14:00,0.5598,HIGH,no strong weekday/weekend skew
C_117,458,69,21,3,108,0.2358,"[3, 5, 4]",Friday,WEEKDAY,3.0,5.0,03:00-05:00,05:00-07:00,0.5546,HIGH,clean
C_118,170,73,22,6,42,0.2471,"[6, 7, 5]",Sunday,MIXED,7.0,5.0,06:00-08:00,07:00-09:00,0.7294,HIGH,no strong weekday/weekend skew
C_119,217,61,22,8,39,0.1797,"[8, 9, 6]",Wednesday,WEEKDAY,6.0,9.0,08:00-10:00,09:00-11:00,0.5023,HIGH,clean
C_12,1900,141,23,10,251,0.1321,"[10, 11, 3]",Sunday,WEEKDAY,11.0,10.0,10:00-12:00,11:00-13:00,0.3547,HIGH,clean
C_120,98,40,19,10,25,0.2551,"[10, 11, 6]",Wednesday,WEEKDAY,10.0,7.0,10:00-12:00,11:00-13:00,0.4796,MEDIUM,clean
C_121,128,27,16,6,35,0.2734,"[6, 3, 7]",Sunday,MIXED,6.0,3.0,06:00-08:00,03:00-05:00,0.5234,HIGH,no strong weekday/weekend skew
C_122,153,44,21,6,56,0.366,"[6, 4, 5]",Saturday,WEEKDAY,4.0,6.0,06:00-08:00,04:00-06:00,0.8431,HIGH,clean
C_123,34,14,10,8,8,0.2353,"[8, 11, 5]",Sunday,MIXED,11.0,8.0,08:00-10:00,11:00-13:00,0.5294,MEDIUM,no strong weekday/weekend skew
C_124,58,12,9,11,26,0.4483,"[11, 7, 10]",Sunday,WEEKEND,7.0,11.0,11:00-13:00,07:00-09:00,0.7759,MEDIUM,clean
C_125,21,14,10,7,12,0.5714,"[7, 6, 9]",Saturday,WEEKDAY,7.0,6.0,07:00-09:00,06:00-08:00,0.9048,MEDIUM,sparse data (<30 violations)
C_126,939,85,22,8,304,0.3237,"[8, 7, 6]",Thursday,WEEKDAY,8.0,8.0,08:00-10:00,07:00-09:00,0.7082,HIGH,clean
C_127,168,34,17,11,37,0.2202,"[11, 4, 3]",Saturday,MIXED,11.0,4.0,11:00-13:00,04:00-06:00,0.4107,HIGH,no strong weekday/weekend skew
C_128,95,38,19,8,30,0.3158,"[8, 9, 7]",Sunday,MIXED,8.0,9.0,08:00-10:00,09:00-11:00,0.8,MEDIUM,no strong weekday/weekend skew
C_129,613,85,23,3,138,0.2251,"[3, 2, 4]",Monday,WEEKDAY,3.0,3.0,03:00-05:00,02:00-04:00,0.4535,HIGH,clean
C_13,6487,148,23,7,1071,0.1651,"[7, 8, 9]",Sunday,WEEKDAY,7.0,8.0,07:00-09:00,08:00-10:00,0.4575,HIGH,clean
C_130,723,96,22,10,118,0.1632,"[10, 11, 5]",Saturday,WEEKDAY,10.0,5.0,10:00-12:00,11:00-13:00,0.473,HIGH,clean
C_131,36,13,9,3,10,0.2778,"[3, 5, 10]",Sunday,MIXED,11.0,3.0,03:00-05:00,05:00-07:00,0.5556,MEDIUM,no strong weekday/weekend skew
C_132,532,83,22,10,182,0.3421,"[10, 11, 9]",Sunday,MIXED,10.0,10.0,10:00-12:00,11:00-13:00,0.7274,HIGH,no strong weekday/weekend skew
C_133,26,12,9,10,7,0.2692,"[10, 4, 8]",Saturday,MIXED,10.0,4.0,10:00-12:00,04:00-06:00,0.5769,MEDIUM,sparse data (<30 violations); no strong weekday/weekend skew
C_134,205,51,21,7,62,0.3024,"[7, 8, 9]",Sunday,MIXED,7.0,7.0,07:00-09:00,08:00-10:00,0.6829,HIGH,no strong weekday/weekend skew
C_135,26,12,9,11,10,0.3846,"[11, 5, 10]",Thursday,WEEKDAY,11.0,2.0,11:00-13:00,05:00-07:00,0.6154,MEDIUM,sparse data (<30 violations)
C_136,622,99,22,10,153,0.246,"[10, 3, 11]",Thursday,WEEKDAY,10.0,10.0,10:00-12:00,03:00-05:00,0.4711,HIGH,clean
C_137,83,30,14,13,17,0.2048,"[13, 12, 11]",Saturday,MIXED,13.0,11.0,13:00-15:00,12:00-14:00,0.4699,MEDIUM,no strong weekday/weekend skew
C_138,886,111,23,11,160,0.1806,"[11, 9, 10]",Thursday,WEEKDAY,11.0,11.0,11:00-13:00,09:00-11:00,0.4707,HIGH,clean
C_139,421,43,19,4,115,0.2732,"[4, 8, 5]",Thursday,WEEKDAY,4.0,4.0,04:00-06:00,08:00-10:00,0.5178,HIGH,clean
C_14,4501,146,23,10,662,0.1471,"[10, 11, 9]",Sunday,WEEKDAY,10.0,10.0,10:00-12:00,11:00-13:00,0.3626,HIGH,clean
C_140,42,29,13,10,9,0.2143,"[10, 7, 9]",Sunday,MIXED,9.0,10.0,10:00-12:00,07:00-09:00,0.5714,MEDIUM,no strong weekday/weekend skew
C_141,247,65,21,5,42,0.17,"[5, 10, 12]",Thursday,WEEKDAY,5.0,12.0,05:00-07:00,10:00-12:00,0.4049,HIGH,clean
C_142,818,90,20,14,179,0.2188,"[14, 12, 11]",Monday,WEEKDAY,14.0,14.0,14:00-16:00,12:00-14:00,0.4841,HIGH,clean
C_143,647,88,22,4,107,0.1654,"[4, 9, 2]",Wednesday,WEEKDAY,4.0,4.0,04:00-06:00,09:00-11:00,0.3972,HIGH,clean
C_144,58,22,15,9,22,0.3793,"[9, 10, 11]",Sunday,WEEKEND,7.0,9.0,09:00-11:00,10:00-12:00,0.7069,MEDIUM,clean
C_145,59,40,21,9,13,0.2203,"[9, 2, 3]",Saturday,MIXED,2.0,9.0,09:00-11:00,02:00-04:00,0.5085,MEDIUM,no strong weekday/weekend skew
C_146,169,67,23,11,28,0.1657,"[11, 6, 7]",Friday,WEEKDAY,11.0,10.0,11:00-13:00,06:00-08:00,0.4024,HIGH,clean
C_147,191,58,21,6,44,0.2304,"[6, 9, 8]",Tuesday,WEEKDAY,6.0,6.0,06:00-08:00,09:00-11:00,0.5079,HIGH,clean
C_148,18,13,9,9,7,0.3889,"[9, 10, 8]",Monday,MIXED,9.0,9.0,09:00-11:00,10:00-12:00,0.7778,MEDIUM,sparse data (<30 violations); no strong weekday/weekend skew
C_149,1807,129,23,10,322,0.1782,"[10, 9, 11]",Saturday,WEEKDAY,10.0,10.0,10:00-12:00,09:00-11:00,0.4328,HIGH,clean
C_15,3813,142,23,8,458,0.1201,"[8, 10, 7]",Sunday,WEEKDAY,8.0,7.0,08:00-10:00,10:00-12:00,0.3577,HIGH,clean
C_150,792,90,23,10,189,0.2386,"[10, 11, 9]",Wednesday,WEEKDAY,10.0,10.0,10:00-12:00,11:00-13:00,0.4773,HIGH,clean
C_151,190,78,20,6,27,0.1421,"[6, 10, 5]",Saturday,MIXED,6.0,5.0,06:00-08:00,10:00-12:00,0.3579,HIGH,no strong weekday/weekend skew
C_152,45,7,4,10,23,0.5111,"[10, 11]",Saturday,MIXED,11.0,10.0,10:00-12:00,11:00-13:00,1.0,MEDIUM,no strong weekday/weekend skew
C_153,4474,126,22,4,718,0.1605,"[4, 8, 3]",Tuesday,WEEKDAY,8.0,4.0,04:00-06:00,08:00-10:00,0.3996,HIGH,clean
C_154,35,16,11,7,9,0.2571,"[7, 13, 9]",Monday,MIXED,7.0,7.0,07:00-09:00,13:00-15:00,0.5143,MEDIUM,no strong weekday/weekend skew
C_155,746,83,21,12,128,0.1716,"[12, 10, 11]",Saturday,MIXED,12.0,10.0,12:00-14:00,10:00-12:00,0.4799,HIGH,no strong weekday/weekend skew
C_156,38,17,11,8,9,0.2368,"[8, 9, 7]",Friday,MIXED,8.0,7.0,08:00-10:00,09:00-11:00,0.5,MEDIUM,no strong weekday/weekend skew
C_157,58,16,8,4,15,0.2586,"[4, 3, 9]",Wednesday,WEEKDAY,4.0,3.0,04:00-06:00,03:00-05:00,0.6552,MEDIUM,clean
C_158,207,47,21,4,51,0.2464,"[4, 7, 8]",Monday,WEEKDAY,4.0,10.0,04:00-06:00,07:00-09:00,0.5314,HIGH,clean
C_159,230,56,22,4,41,0.1783,"[4, 11, 8]",Saturday,MIXED,12.0,4.0,04:00-06:00,11:00-13:00,0.4739,HIGH,no strong weekday/weekend skew
C_16,352,87,22,8,53,0.1506,"[8, 7, 3]",Sunday,WEEKDAY,8.0,3.0,08:00-10:00,07:00-09:00,0.3977,HIGH,clean
C_160,139,33,19,12,45,0.3237,"[12, 11, 10]",Monday,WEEKDAY,12.0,5.0,12:00-14:00,11:00-13:00,0.6475,HIGH,clean
C_161,49,12,7,13,14,0.2857,"[13, 12, 11]",Wednesday,WEEKDAY,13.0,13.0,13:00-15:00,12:00-14:00,0.6735,MEDIUM,clean
C_162,151,45,22,10,53,0.351,"[10, 11, 9]",Sunday,MIXED,11.0,10.0,10:00-12:00,11:00-13:00,0.6424,HIGH,no strong weekday/weekend skew
C_163,53,21,14,10,19,0.3585,"[10, 11, 9]",Sunday,WEEKEND,9.0,10.0,10:00-12:00,11:00-13:00,0.7547,MEDIUM,clean
C_164,88,48,20,11,16,0.1818,"[11, 13, 12]",Thursday,WEEKDAY,13.0,8.0,11:00-13:00,13:00-15:00,0.4886,MEDIUM,clean
C_165,82,41,16,11,17,0.2073,"[11, 12, 3]",Thursday,WEEKDAY,11.0,12.0,11:00-13:00,12:00-14:00,0.5488,MEDIUM,clean
C_166,92,27,17,3,33,0.3587,"[3, 11, 2]",Saturday,MIXED,3.0,11.0,03:00-05:00,11:00-13:00,0.7174,MEDIUM,no strong weekday/weekend skew
C_167,509,54,18,4,105,0.2063,"[4, 1, 2]",Friday,WEEKDAY,1.0,4.0,04:00-06:00,01:00-03:00,0.5383,HIGH,clean
C_168,1186,88,21,3,292,0.2462,"[3, 2, 4]",Saturday,WEEKDAY,2.0,3.0,03:00-05:00,02:00-04:00,0.6248,HIGH,clean
C_169,186,49,20,5,40,0.2151,"[5, 4, 10]",Thursday,WEEKDAY,5.0,4.0,05:00-07:00,04:00-06:00,0.5054,HIGH,clean
C_17,927,96,22,1,139,0.1499,"[1, 12, 2]",Monday,WEEKDAY,1.0,1.0,01:00-03:00,12:00-14:00,0.356,HIGH,clean
C_170,191,77,22,12,34,0.178,"[12, 11, 10]",Wednesday,WEEKDAY,12.0,11.0,12:00-14:00,11:00-13:00,0.4555,HIGH,clean
C_171,4437,144,23,5,481,0.1084,"[5, 4, 12]",Friday,WEEKDAY,4.0,11.0,05:00-07:00,04:00-06:00,0.309,HIGH,clean
