cluster_id,assigned_station,station_assignment_method,station_assignment_confidence,station_cluster_rank,station_violation_rank,station_priority_band,is_top_station_hotspot,station_total_clusters,station_total_violations,station_needs_review_clusters,station_good_clusters,station_medium_clusters,cluster_violation_share_within_station,jurisdiction_notes,violation_count,centroid_lat,centroid_lng,police_station_mode,cluster_quality,needs_manual_review,dominant_vehicle_type,junction_flag_rate,location_mode
C_373,JEEVANBHEEMANAGAR,police_station_mode,MEDIUM,1,1,HIGH,1,35,5678,16,11,24,0.2138,cluster flagged for review,1214,12.971740330192915,77.65810073616404,JEEVANBHEEMANAGAR,good,1,SCOOTER,0.0008,"Pusa Thippasandra Main Road, Nada Prabhu Kempegowda Circle, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)"
C_168,HAL OLD AIRPORT,police_station_mode,MEDIUM,5,5,CRITICAL,1,51,19446,22,17,32,0.061,cluster flagged for review,1186,12.950631467529393,77.6997890396515,HAL OLD AIRPORT,good,1,CAR,0.0025,"Outer Ring Road, Soulspace Paradigm, Marathahalli Village, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)"
C_0_6,CHAMARAJPET,police_station_mode,MEDIUM,2,2,MEDIUM,1,11,2881,10,2,7,0.4009,cluster flagged for review; dominates station (40% of station violations),1155,12.967972984848483,77.57465225939394,CHAMARAJPET,good,1,PASSENGER AUTO,0.0009,"AS Char Main Road, Santhusapete, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)"
C_229,HALASUR,police_station_mode,MEDIUM,1,1,MEDIUM,1,28,3011,19,5,23,0.3783,cluster flagged for review; dominates station (38% of station violations),1139,12.973432717208077,77.61522998217735,HALASUR,good,1,PASSENGER AUTO,0.0149,"Mahatma Gandhi Road, Mittal Towers, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)"
C_104,BELLANDUR,police_station_mode,MEDIUM,1,1,MEDIUM,1,33,3892,16,7,26,0.2801,cluster flagged for review,1090,12.9273928179223,77.67982093780776,BELLANDUR,good,1,MAXI-CAB,0.0,"Outer Ring Road, Citilights Liberty Apartment, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)"
C_114,HSR LAYOUT,police_station_mode,MEDIUM,1,1,MEDIUM,1,34,4491,19,6,26,0.2418,cluster flagged for review,1086,12.906503325809119,77.62997920543555,HSR LAYOUT,good,1,SCOOTER,0.0,"Hosapalya Main Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)"
C_213,ADUGODI,police_station_mode,MEDIUM,1,1,LOW,1,23,2384,13,2,21,0.4258,cluster flagged for review; dominates station (43% of station violations),1015,12.935766392610837,77.61598794935962,ADUGODI,good,1,SCOOTER,0.0049,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)"
C_36,RAJAJINAGAR,police_station_mode,MEDIUM,2,2,HIGH,1,46,6236,30,12,32,0.1621,cluster flagged for review,1011,13.007794089102148,77.54852401484868,RAJAJINAGAR,good,1,SCOOTER,0.0198,"1st Main Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
C_0_4,UPPARPET,police_station_mode,MEDIUM,4,4,CRITICAL,1,33,36360,22,5,21,0.0278,cluster flagged for review,1009,12.97547325421209,77.57477535272547,UPPARPET,good,1,CAR,0.0,"Major T Ramachandrappa Road, Elite Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
C_605,BYATARAYANAPURA,police_station_mode,HIGH,2,2,MEDIUM,1,16,3703,8,7,9,0.2649,clean,981,12.96083106711602,77.52825387231269,BYATARAYANAPURA,good,0,SCOOTER,0.0,"4th Main Road, Sri Basaveshwara HBCS, Phase 1, Chandra Layout Stage 2, Bengaluru, Karnataka. Pin-560040 (India)"
C_126,HAL OLD AIRPORT,police_station_mode,MEDIUM,6,6,CRITICAL,1,51,19446,22,17,32,0.0483,cluster flagged for review,939,12.930380187217791,77.68543168893206,HAL OLD AIRPORT,good,1,CAR,0.1235,"Outer Ring Road, Vajram Esteva, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)"
C_17,CHIKKAJALA,police_station_mode,MEDIUM,2,2,HIGH,1,17,6107,9,3,14,0.1518,cluster flagged for review,927,13.191255339244876,77.64623646348437,CHIKKAJALA,good,1,CAR,0.0076,"Bengaluru Bellary Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)"
C_301,KODIGEHALLI,police_station_mode,MEDIUM,2,2,HIGH,1,33,8738,15,10,21,0.1032,cluster flagged for review,902,13.047498879157429,77.57595622572062,KODIGEHALLI,good,1,MOTOR CYCLE,0.0,"Bhadrappa Flyover, Nagashetty Halli, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)"
C_0_3,CITY MARKET,police_station_mode,MEDIUM,3,3,CRITICAL,1,36,15655,21,7,25,0.0574,cluster flagged for review,899,12.966909448748764,77.57816169124267,CITY MARKET,good,1,SCOOTER,0.0,"Avenue Road, Medarpet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)"
C_138,CUBBON PARK,police_station_mode,MEDIUM,1,1,LOW,1,19,1977,7,4,15,0.4482,cluster flagged for review; dominates station (45% of station violations),886,12.971358645259594,77.59751701162527,CUBBON PARK,good,1,CAR,0.0,"Walton Road, Walton Road Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
C_19,RAJAJINAGAR,police_station_mode,MEDIUM,3,3,HIGH,1,46,6236,30,12,32,0.1402,cluster flagged for review,874,12.985262774275833,77.5535623587975,RAJAJINAGAR,good,1,SCOOTER,0.0,"Vatal Nagaraj Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
C_329,HAL OLD AIRPORT,police_station_mode,MEDIUM,7,7,CRITICAL,1,51,19446,22,17,32,0.0444,cluster flagged for review,864,12.932581437139133,77.68835965930221,HAL OLD AIRPORT,good,1,PASSENGER AUTO,0.0058,"Outer Ring Road, Vajram Onyx, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)"
C_142,BANASWADI,police_station_mode,HIGH,1,1,LOW,1,16,1530,8,3,13,0.5346,dominates station (53% of station violations),818,12.993668677017116,77.66265448594132,BANASWADI,good,0,SCOOTER,0.0,"Old Madras Road, Gopalan Signature Mall, Nagavara Palya, CV Raman Nagar, Bengaluru, Karnataka. Pin-560093 (India)"
C_219,JAYANAGARA,police_station_mode,MEDIUM,1,1,MEDIUM,1,34,3074,15,6,28,0.2648,cluster flagged for review,814,12.928574698648648,77.58072796670761,JAYANAGARA,good,1,SCOOTER,0.0,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)"
C_150,VIJAYANAGARA,police_station_mode,MEDIUM,4,4,CRITICAL,1,33,14536,21,16,17,0.0545,cluster flagged for review,792,12.988088243112133,77.53758034494687,VIJAYANAGARA,good,1,CAR,0.0,"Dr Siddaiah Puranik Marg, Havanur Circle, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)"
C_73,JEEVANBHEEMANAGAR,police_station_mode,MEDIUM,2,2,HIGH,1,35,5678,16,11,24,0.1391,cluster flagged for review,790,12.9705639141301,77.64647372129458,JEEVANBHEEMANAGAR,good,1,CAR,0.0139,"Sir CV Raman Hospital Road, The Junction, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)"
C_155,HSR LAYOUT,police_station_mode,MEDIUM,2,2,MEDIUM,1,34,4491,19,6,26,0.1661,cluster flagged for review,746,12.91165698150134,77.6381054533512,HSR LAYOUT,good,1,SCOOTER,0.0,"14th Main Road, The Metropolitan Cooperative Housing Society, Sector 4, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)"
C_130,VIJAYANAGARA,police_station_mode,MEDIUM,5,5,CRITICAL,1,33,14536,21,16,17,0.0497,cluster flagged for review,723,12.968758195509782,77.53683143937472,VIJAYANAGARA,good,1,SCOOTER,0.0014,"1st Main Road, Police Quarters, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
C_251,PULIKESHINAGAR(F.TOWN),police_station_mode,MEDIUM,1,1,MEDIUM,1,29,3110,13,8,21,0.2296,cluster flagged for review,714,12.995691620168069,77.61368815784314,PULIKESHINAGAR(F.TOWN),good,1,SCOOTER,0.0,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)"
C_325,MALLESHWARAM,police_station_mode,MEDIUM,5,5,CRITICAL,1,28,24086,21,9,19,0.0294,cluster flagged for review,708,12.99924996539548,77.56941672161017,MALLESHWARAM,good,1,CAR,0.0,"Siddavanahalli Krishna Sharma Road, Parisara Organic Junction, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
C_66,SHIVAJINAGAR,police_station_mode,MEDIUM,4,4,CRITICAL,1,35,27458,21,9,24,0.0254,cluster flagged for review,697,12.98925057288379,77.5990731764706,SHIVAJINAGAR,good,1,SCOOTER,0.0014,"Queens Road, Rajiv Gandhi Colony, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)"
C_292,HSR LAYOUT,police_station_mode,HIGH,3,3,MEDIUM,1,34,4491,19,6,26,0.1523,clean,684,12.912521357634246,77.63541447210487,HSR LAYOUT,good,0,MOTOR CYCLE,0.0,"17th Cross Road, The Metropolitan Cooperative Housing Society, Sector 4, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)"
C_189,SADASHIVANAGAR,police_station_mode,MEDIUM,1,1,LOW,1,9,1101,4,2,7,0.6122,cluster flagged for review; dominates station (61% of station violations),674,13.027951269139464,77.57376551706231,SADASHIVANAGAR,good,1,CAR,0.0015,"80 Feet Road, Block 2, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)"
C_69,SHIVAJINAGAR,police_station_mode,MEDIUM,5,5,CRITICAL,1,35,27458,21,9,24,0.0244,cluster flagged for review,671,12.984736061852642,77.605169829999,SHIVAJINAGAR,good,1,SCOOTER,0.0089,"MPV Road, Chandni Chowk, Bengaluru, Karnataka. Pin-560051 (India)"
C_261,YELAHANKA,police_station_mode,MEDIUM,1,1,LOW,1,13,1499,5,4,9,0.4436,cluster flagged for review; dominates station (44% of station violations),665,13.097127252330827,77.59950379278196,YELAHANKA,good,1,SCOOTER,0.0,"Jakkur Main Road, Raitarasanthe, Nehru Nagar, Bengaluru, Karnataka. Pin-560064 (India)"
C_403,ASHOK NAGAR,police_station_mode,HIGH,1,1,MEDIUM,1,24,2968,10,7,17,0.2204,clean,654,12.961816046788993,77.59903775152905,ASHOK NAGAR,good,0,SCOOTER,0.0,"O Shaughnessy Road, Divyasree Chambers, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)"
C_143,BELLANDUR,police_station_mode,MEDIUM,2,2,MEDIUM,1,33,3892,16,7,26,0.1662,cluster flagged for review,647,12.925971273822437,77.67648901249316,BELLANDUR,good,1,CAR,0.0,"Outer Ring Road, Bellandur Circle, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)"
C_136,VIJAYANAGARA,police_station_mode,MEDIUM,6,6,CRITICAL,1,33,14536,21,16,17,0.0428,cluster flagged for review,622,12.972101267607313,77.53770944271348,VIJAYANAGARA,good,1,SCOOTER,0.0016,"17th Cross Road, MRCR Extension, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
C_129,HAL OLD AIRPORT,police_station_mode,MEDIUM,8,8,CRITICAL,1,51,19446,22,17,32,0.0315,cluster flagged for review,613,12.971365226845993,77.71203499790565,HAL OLD AIRPORT,good,1,CAR,0.0049,"ITPL Main Road, SJR Brooklyn Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)"
C_296,HAL OLD AIRPORT,police_station_mode,MEDIUM,9,9,CRITICAL,1,51,19446,22,17,32,0.0314,cluster flagged for review,610,12.93630522127484,77.69242717433798,HAL OLD AIRPORT,good,1,MAXI-CAB,0.0049,"Outer Ring Road, Rajiv Nagar, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)"
C_211,HAL OLD AIRPORT,police_station_mode,MEDIUM,10,10,CRITICAL,1,51,19446,22,17,32,0.0298,cluster flagged for review,580,12.938559360736098,77.69751334553406,HAL OLD AIRPORT,good,1,SCOOTER,0.0052,"Panathur Main Road, Darshan Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)"
C_182,BELLANDUR,police_station_mode,MEDIUM,3,3,MEDIUM,1,33,3892,16,7,26,0.1475,cluster flagged for review,574,12.899603366377004,77.67545758401546,BELLANDUR,good,1,CAR,0.0,"Amrutha College Road, Azalea, Owners Court Layout, Kasavanahalli, Bengaluru, Karnataka. Pin-560035 (India)"
C_446,ADUGODI,police_station_mode,HIGH,2,2,LOW,1,23,2384,13,2,21,0.2395,clean,571,12.932364232574432,77.63174954640981,ADUGODI,good,0,CAR,0.0,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)"
C_45,JEEVANBHEEMANAGAR,police_station_mode,MEDIUM,3,3,HIGH,1,35,5678,16,11,24,0.0986,cluster flagged for review,560,12.969600564694607,77.64129608233884,JEEVANBHEEMANAGAR,good,1,MOTOR CYCLE,0.0071,"Domlur Inner Ring Road, HAL Stage 2, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)"
C_23,ASHOK NAGAR,police_station_mode,MEDIUM,2,2,MEDIUM,1,24,2968,10,7,17,0.1819,cluster flagged for review,540,12.973805207855643,77.60762985214475,ASHOK NAGAR,good,1,SCOOTER,0.0,"Brigade Road, Cauvery Junction, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
C_181,JAYANAGARA,police_station_mode,MEDIUM,2,2,MEDIUM,1,34,3074,15,6,28,0.1747,cluster flagged for review,537,12.927466062569831,77.58600870651769,JAYANAGARA,good,1,CAR,0.1024,"11th Main Road, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)"
C_245,RAJAJINAGAR,police_station_mode,MEDIUM,4,4,HIGH,1,46,6236,30,12,32,0.0858,cluster flagged for review,535,13.017782217570094,77.53157108635514,RAJAJINAGAR,good,1,CAR,0.0,"Dr Rajkumar Puniya Bhoomi Road, Block 2, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)"
C_132,SHIVAJINAGAR,police_station_mode,MEDIUM,6,6,CRITICAL,1,35,27458,21,9,24,0.0194,cluster flagged for review,532,12.979932711842105,77.61385238101504,SHIVAJINAGAR,good,1,CAR,0.0,"Dickenson Road, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)"
C_175,PULIKESHINAGAR(F.TOWN),police_station_mode,MEDIUM,2,2,MEDIUM,1,29,3110,13,8,21,0.1678,cluster flagged for review,522,13.000021170114943,77.61105618045977,PULIKESHINAGAR(F.TOWN),good,1,SCOOTER,0.0,"Robertson Road, Sri Ramakrishnappa Circle, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)"
